"id";"Nome";"distanciaCapital"
244;"Rio Pomba";245
245;"São Miguel do Anta";245
246;"Cedro do Abaeté";248
247;"Paineiras";248
248;"Cristais";249
249;"Guanhães";251
250;"Piau";251
251;"Augusto de Lima";252
252;"Estrela do Indaiá";252
253;"Itumirim";252
254;"Itutinga";252
255;"Madre de Deus de Minas";252
256;"Pedro Teixeira";252
257;"Santana do Paraíso";253
258;"Tapiraí";253
259;"Tabuleiro";254
260;"Carmo da Cachoeira";255
261;"Gouveia";255
262;"Pingo DÁgua";255
263;"Piraúba";256
264;"São Geraldo";256
265;"Serra da Saudade";256
266;"Matipó";257
267;"Sericita";257
268;"Belo Oriente";258
269;"Canaã";259
270;"Datas";259
271;"Ervália";259
272;"Tocantins";259
273;"Três Marias";259
274;"Vargem Alegre";261
275;"Iapu";262
276;"Ingaí";262
277;"Mesquita";262
278;"Bambuí";263
279;"Naque";263
280;"Biquinhas";265
281;"Juiz de Fora";265
282;"Sabinópolis";266
283;"Coqueiral";267
284;"Periquito";268
285;"Piumhi";269
286;"Visconde do Rio Branco";269
287;"São Bento Abade";270
288;"Araponga";271
289;"Lassance";271
290;"Santana da Vargem";271
291;"Guiricema";272
292;"Santa Margarida";272
293;"Bugre";274
294;"São João do Oriente";276
295;"Boa Esperança";277
296;"Buenópolis";277
297;"Bom Jesus do Galho";278
298;"Campos Altos";278
299;"Carrancas";279
300;"Luminárias";279
301;"Açucena";281
302;"Astolfo Dutra";281
303;"Doresópolis";281
304;"Inhapim";281
305;"Rodeiro";281
306;"Tarumirim";283
307;"Andrelândia";284
308;"Capitólio";284
309;"Dom Cavati";284
310;"Presidente Kubitschek";284
311;"Rosário da Limeira";284
312;"Coronel Pacheco";285
313;"Córrego Novo";285
314;"Reduto";285
315;"São Vicente de Minas";286
316;"Três Pontas";286
317;"Ubá";286
318;"Dona Euzébia";287
319;"São Sebastião da Vargem Alegre";287
320;"Virginópolis";287
321;"Guidoval";288
322;"Matias Barbosa";288
323;"Itamarati de Minas";289
324;"Manhuaçu";289
325;"Cantagalo";291
326;"Divinolândia de Minas";291
327;"São João Evangelista";291
328;"Ubaporanga";291
329;"Joaquim Felício";292
330;"Três Corações";292
331;"Morada Nova de Minas";293
332;"São João do Manhuaçu";294
333;"Entre Folhas";295
334;"Diamantina";296
335;"Santa Rosa da Serra";296
336;"Simão Pereira";296
337;"Caputira";297
338;"Caratinga";297
339;"Várzea da Palma";297
340;"Medeiros";299
341;"Belmiro Braga";301
342;"Vermelho Novo";301
343;"Campos Gerais";302
344;"Gonzaga";302
345;"Guarani";302
346;"Santa Bárbara do Leste";302
347;"Sobrália";302
348;"Chácara";303
349;"Miraí";303
350;"Engenheiro Caldas";304
351;"Fernandes Tourinho";304
352;"São Domingos das Dores";304
353;"Cataguases";305
354;"Ilicínea";306
355;"Lima Duarte";306
356;"Piedade de Caratinga";306
357;"Santa Efigênia de Minas";307
358;"Martins Soares";308
359;"Cambuquira";309
360;"Guarará";309
361;"Itanhomi";309
362;"Luisburgo";309
363;"Manhumirim";309
364;"Materlândia";309
365;"Minduri";309
366;"Paulistas";309
367;"Campanha";310
368;"São Sebastião do Anta";310
369;"Serro";310
370;"Varginha";311
371;"Muriaé";312
372;"Bicas";313
373;"Alto Jequitibá";314
374;"Santa Bárbara do Monte Verde";314
375;"Santana do Manhuaçu";315
376;"Durandé";316
377;"São José do Jacuri";316
378;"São Gotardo";317
379;"Sardoá";317
380;"Simonésia";317
381;"Maripá de Minas";318
382;"Rio Novo";319
383;"Arantina";320
384;"Monsenhor Paulo";320
385;"Olaria";320
386;"Santa Rita de Minas";320
387;"Descoberto";321
388;"Leopoldina";321
389;"Alto Caparaó";322
390;"Governador Valadares";322
391;"Ibiá";322
392;"Orizânia";323
393;"Santana de Cataguases";323
394;"Santana do Deserto";323
395;"Divino";324
396;"Elói Mendes";325
397;"Goianá";325
398;"Rio Vermelho";325
399;"São Pedro do Suaçuí";325
400;"Rio Paranaíba";327
401;"São Tomé das Letras";327
402;"Bom Jardim de Minas";328
403;"Peçanha";328
404;"São Geraldo da Piedade";328
405;"São Roque de Minas";328
406;"Alpercata";329
407;"Campo do Meio";329
408;"Santo Antônio do Itambé";329
409;"Matutina";330
410;"Careaçu";331
411;"Cruzília";331
412;"São João Nepomuceno";331
413;"Chiador";332
414;"São José da Barra";332
415;"Guapé";333
416;"Lambari";333
417;"Couto de Magalhães de Minas";334
418;"Leme do Prado";334
419;"São Gonçalo do Rio Preto";334
420;"Caparaó";336
421;"Conceição do Rio Verde";336
422;"Rochedo de Minas";336
423;"Argirita";337
424;"São Gonçalo do Sapucaí";337
425;"Pequeri";338
426;"Mar de Espanha";339
427;"Pratinha";339
428;"Soledade de Minas";339
429;"Frei Lagonegro";340
430;"Imbé de Minas";340
431;"José Raydan";340
432;"Lajinha";340
433;"Miradouro";341
434;"Pirapora";342
435;"Cordislândia";343
436;"Alfenas";344
437;"Arapuá";344
438;"São João Batista do Glória";344
439;"Alvarenga";345
440;"Paraguaçu";345
441;"Carangola";346
442;"Carmo do Paranaíba";346
443;"Espera Feliz";346
444;"Laranjal";346
445;"Capitão Andrade";347
446;"Senador Cortes";347
447;"Vargem Bonita";347
448;"Alpinópolis";348
449;"Jesuânia";348
450;"Passos";348
451;"Rio Preto";349
452;"Buritizeiro";351
453;"Liberdade";351
454;"Pedra Bonita";351
455;"São José do Mantimento";351
456;"Tiros";351
457;"Engenheiro Navarro";353
458;"Olímpio Noronha";353
459;"Fervedouro";355
460;"Serra Azul de Minas";355
461;"Carmo do Rio Claro";356
462;"Felício dos Santos";356
463;"Santa Maria do Suaçuí";357
464;"Turvolândia";357
465;"Recreio";358
466;"Serrania";358
467;"Faria Lemos";359
468;"Chalé";360
469;"Estrela D Alva";360
470;"Araxá";362
471;"Caiana";363
472;"Seritinga";363
473;"Ipanema";366
474;"Palma";366
475;"São Sebastião da Bela Vista";366
476;"Senador Modestino Gonçalves";366
477;"Baependi";367
478;"Santo Antônio do Aventureiro";367
479;"Itaú de Minas";369
480;"Serranos";369
481;"Areado";370
482;"Bom Jesus da Penha";370
483;"Natércia";370
484;"Pirapetinga";370
485;"São Sebastião do Rio Verde";370
486;"Água Boa";371
487;"Francisco Dumont";371
488;"Heliodora";371
489;"Marilac";371
490;"Coluna";372
491;"Frei Inocêncio";372
492;"Tombos";372
493;"Carmo de Minas";373
494;"São Francisco do Glória";373
495;"Conceição de Ipanema";374
496;"Vieiras";374
497;"Carvalhos";375
498;"Caxambu";375
499;"Fama";375
500;"Matias Lobato";375
501;"São Gonçalo do Abaeté";376
502;"Tumiritinga";376
503;"Fortaleza de Minas";378
504;"Machado";378
505;"Nova Resende";378
506;"Bocaiúva";379
507;"Além Paraíba";380
508;"São José da Safira";380
509;"Pouso Alto";381
510;"Alterosa";382
511;"Taparuba";382
512;"Lagoa Formosa";383
513;"Pedra Dourada";384
514;"Divino das Laranjeiras";385
515;"Galiléia";385
516;"Itamarandiba";385
517;"São Sebastião do Maranhão";385
518;"Carvalhópolis";387
519;"Santa Rita de Jacutinga";387
520;"Coroaci";388
521;"Itamonte";388
522;"Poço Fundo";388
523;"Pratápolis";388
524;"Bocaina de Minas";390
525;"Monte Belo";390
526;"Pouso Alegre";390
527;"São Lourenço";390
528;"São Pedro da União";390
529;"Nacip Raydan";393
530;"Patos de Minas";393
531;"Varjão de Minas";393
532;"Aiuruoca";394
533;"Itanhandu";394
534;"Passa Vinte";394
535;"Cristina";396
536;"Virgolândia";396
537;"Campanário";397
538;"Mutum";397
539;"São Sebastião do Paraíso";397
540;"Conceição das Pedras";398
541;"São Félix de Minas";398
542;"Cássia";399
543;"Dom Viçoso";400
544;"Jampruca";400
545;"João Pinheiro";400
546;"Conceição da Aparecida";401
547;"Mendes Pimentel";401
548;"Volta Grande";401
549;"Serra do Salitre";402
550;"Congonhal";403
551;"Pocrane";403
552;"Divisa Nova";404
553;"Santa Rita do Sapucaí";404
554;"Conselheiro Pena";405
555;"Lagoa dos Patos";406
556;"Guaraciama";410
557;"Muzambinho";410
558;"Cachoeira de Minas";411
559;"Eugenópolis";411
560;"Espírito Santo do Dourado";412
561;"Estiva";412
562;"Patrocínio";412
563;"Jequitaí";413
564;"São João da Mata";413
565;"Ibiaí";414
566;"São José do Alegre";414
567;"Central de Minas";415
568;"São Geraldo do Baixio";416
569;"São José do Divino";416
570;"Borda da Mata";418
571;"Santa Rita do Itueto";418
572;"Tocos do Moji";418
573;"Silvianópolis";419
574;"Campestre";420
575;"Itambacuri";420
576;"Antônio Prado de Minas";421
577;"Carbonita";421
578;"Olhos D Água";421
579;"Senador José Bento";421
580;"Conceição dos Ouros";422
581;"Patrocínio do Muriaé";422
582;"Pedralva";422
583;"Cabo Verde";423
584;"Capetinga";423
585;"Jacuí";423
586;"Ibiraci";424
587;"Montes Claros";424
588;"Perdizes";425
589;"Cruzeiro da Fortaleza";426
590;"Itamogi";426
591;"Capelinha";427
592;"São Tomás de Aquino";428
593;"Marmelópolis";429
594;"Monte Santo de Minas";429
595;"Brasópolis";430
596;"Cambuí";430
597;"Delfinópolis";430
598;"Itabirinha de Mantena";430
599;"Ponto Chique";430
600;"Tapira";430
601;"Alagoa";432
602;"Ipuiúna";432
603;"São João do Manteninha";432
604;"Presidente Olegário";433
605;"Itacambira";434
606;"Piranguinho";434
607;"Barão de Monte Alto";435
608;"Bom Repouso";435
609;"Guaranésia";435
610;"Virgínia";435
611;"Córrego do Bom Jesus";436
612;"Cuparaque";436
613;"Itueta";436
614;"Juruaia";437
615;"Passa Quatro";437
616;"Pescador";438
617;"Paraisópolis";439
618;"São João da Lagoa";439
619;"Guaxupé";440
620;"Goiabeira";441
621;"Bandeira do Sul";443
622;"Camanducaia";443
623;"Gonçalves";443
624;"Inconfidentes";443
625;"Itajubá";443
626;"Campo Azul";445
627;"Guimarânia";445
628;"Nova Belém";445
629;"Ouro Fino";445
630;"Santa Rita de Caldas";445
631;"Senador Amaral";445
632;"Angelândia";446
633;"Sapucaí-Mirim";448
634;"Pedrinópolis";449
635;"Frei Gaspar";450
636;"Arceburgo";451
637;"Aricanduva";451
638;"Botelhos";451
639;"Resplendor";454
640;"Santa Juliana";454
641;"Consolação";456
642;"Piranguçu";457
643;"Juramento";458
644;"Nova Módica";458
